,phi0,p,a,P_load,u,v,U,V,L-a-u,L-U,lambda_P
13,33.0,0.5224985647159488,0.004374599246487555,4.275920202044782,0.001376018313781516,0.0025693096014414323,0.002081769925683729,0.004951887113625879,0.004249382439730929,0.00791823007431627,2.565552121226869
14,34.0,0.5299192642332049,0.0043234865634859225,4.2889842265718565,0.0014245884376857913,0.002654356839898652,0.002163742195605005,0.005072019844451107,0.004251924998828286,0.007836257804394994,2.5733905359431133
15,35.0,0.5372996083468238,0.004273954961186711,4.3027201151418115,0.0014711346581228035,0.002737571797156703,0.0022440706756543414,0.00518901165291905,0.004254910380690486,0.007755929324345659,2.5816320690850865
16,36.0,0.544639035015027,0.0042259314276984474,4.317140087868607,0.001515790707707007,0.0028189931818106756,0.0023228717933342262,0.005302933352211098,0.004258277864594546,0.007677128206665774,2.5902840527211635
17,37.0,0.5519369853120581,0.004179348120147588,4.332256076684247,0.0015586810024460366,0.0028986558509714066,0.002400253304994361,0.0054138503366584975,0.004261970877406375,0.007599746695005639,2.5993536460105475
18,38.0,0.5591929034707468,0.004134141884806456,4.348079854416496,0.0015999215173950884,0.0029765912259602186,0.002476315140038095,0.005521823117965759,0.004265936597798455,0.007523684859961905,2.608847912649897
19,39.0,0.5664062369248328,0.004090253833546849,4.364623147394375,0.0016396205582910944,0.003052827656399894,0.0025511501437631163,0.005626907798420693,0.004270125608162057,0.007448849856236884,2.6187738884366243
20,40.0,0.573576436351046,0.004047628968744139,4.3818977344247365,0.0016778794438417908,0.00312739074018837,0.0026248447332720823,0.005729156489905407,0.0042744915874140706,0.007375155266727918,2.629138640654842
21,41.0,0.5807029557109397,0.004006215850031626,4.399915534499228,0.001714793110959783,0.0032003036055999,0.002697479478532225,0.0058286176860980286,0.004278991039008591,0.007302520521467775,2.6399493206995364
22,42.0,0.5877852522924731,0.003965966297346011,4.418688685200949,0.0017504506532841288,0.003271587160745917,0.002769129618739711,0.005925336594087849,0.00428358304936986,0.007230870381260289,2.6512132111205684
23,43.0,0.5948227867513411,0.003926835125562034,4.438229613462072,0.001784935801731352,0.0033412603148003043,0.002839865522565412,0.006019355430669427,0.004288229072706614,0.007160134477434589,2.6629377680772426
24,44.0,0.6018150231520483,0.0038887799067214494,4.458551100065802,0.00181832735449668,0.00340934017471156,0.0029097530995561634,0.006110713687788373,0.00429289273878187,0.007090246900443837,2.6751306600394806
25,45.0,0.6087614290087205,0.00385176075644938,4.479666339074578,0.001850699562829493,0.003475842220560797,0.0029788541688852903,0.00619944837095438,0.004297539680721127,0.0070211458311147095,2.6877998034447463
26,46.0,0.6156614753256582,0.003815740141640633,4.501588993194083,0.0018821224779936533,0.0035407804622561833,0.0030472267907472204,0.006285594213888132,0.004302137380365714,0.00695277320925278,2.7009533959164496
